,Data_Name,Data_Size,Para2,Para3,Para4,no. of swappings,read time,sort time,write time,overall time
1,data1.txt,500,1000,2000,0.5,40724.0,7.2e-05,0.000198,5.1e-05,0.000321
2,data2.txt,250,1000,2000,0.5,12482.0,6.3e-05,9.5e-05,4.7e-05,0.000205
3,data3.txt,750,1000,2000,0.5,104308.0,9.5e-05,0.000811,6.4e-05,0.00097
4,data4.txt,1000,1000,2000,0.5,190827.0,8.8e-05,0.001471,6.7e-05,0.001626
5,data1.txt,500,500,2000,0.5,40724.0,6.7e-05,0.000254,5.2e-05,0.000373
6,data1.txt,500,1500,2000,0.5,40724.0,6.8e-05,0.000196,5.5e-05,0.000319
7,data1.txt,500,2000,2000,0.5,40724.0,6.8e-05,0.0002,5.2e-05,0.00032
8,data1.txt,500,1000,1000,0.5,40724.0,0.000113,0.000197,6e-05,0.00037
9,data1.txt,500,1000,3000,0.5,40724.0,6.7e-05,0.000206,5.4e-05,0.000327
10,data1.txt,500,1000,4000,0.5,40724.0,6.9e-05,0.000203,5.8e-05,0.00033
11,data1.txt,500,1000,2000,0.3,40724.0,7.3e-05,0.000209,5.6e-05,0.000338
12,data1.txt,500,1000,2000,0.8,40724.0,7.3e-05,0.000196,5.7e-05,0.000326
13,data1.txt,500,1000,2000,1.0,40724.0,6.6e-05,0.000205,9.6e-05,0.000367
